"id";"категория";"ловушка";"вопрос";"эталон";"ответ_М1_первичный";"оценка_М1";"ответ_М2_первичный";"оценка_М2";"консенсус_1_раунда";"уточнение";"итоговый_ответ";"оценка_способа";"расхождений_в_протоколе";"статус_протокола";"арбитр";"длит_мс"
"Т3";"Д5";"нет";"Найдите 35 % от 840.";"294";"35 % от 840 равны 294 (840 × 0,35 = 294).";"верно";"35% от 840 равно 294.";"верно";"да";"нет";"35 % от 840 равны 294.";"верно";"0";"консенсус";"М1";"5088"
"Т4";"Д5";"нет";"Найдите 8 % от 1250.";"100";"8 % от 1250 — это 100. (1250 × 0,08 = 100).";"верно";"8 % от 1250 равно 100.";"верно";"да";"нет";"100";"верно";"0";"консенсус";"М2";"6426"
"Т5";"Д5";"нет";"Найдите 45 % от 760.";"342";"45 % от 760 равно 342 (760 × 0,45 = 342).";"верно";"45 % от 760 равно 342.";"верно";"да";"нет";"45 % от 760 равно 342.";"верно";"0";"консенсус";"М1";"5391"
"Т6";"Д5";"нет";"Найдите 6 % от 950.";"57";"6 % от 950 = 950 × 0,06 = 57.";"верно";"6 % от 950 равно 57.";"верно";"да";"нет";"57";"верно";"0";"консенсус";"М2";"6404"
"Т7";"Д5";"нет";"Сколько минут в 7,50 часа?";"450";"В 7,50 часа — 450 минут (7 часов × 60 = 420, плюс 0,5 часа = 30 минут).";"верно";"В 7,50 часах содержится 450 минут.";"верно";"да";"нет";"В 7,50 часа — 450 минут.";"верно";"0";"консенсус";"М1";"7080"
"Т8";"Д5";"нет";"Сколько минут в 3,25 часа?";"195";"В 3,25 часа — 195 минут (3 часа = 180 минут, плюс 0,25 часа = 15 минут).";"верно";"В 3,25 часах содержится 195 минут (3 часа равны 180 минутам, а 0,25 часа — это 15 минут).";"верно";"да";"нет";"В 3,25 часа — 195 минут.";"верно";"0";"консенсус";"М2";"6643"
"Т9";"Д5";"нет";"Сколько минут в 12,75 часа?";"765";"В 12,75 часа — 765 минут (12 × 60 = 720, плюс 0,75 × 60 = 45).";"верно";"12,75 часа равны 765 минутам (12 × 60 + 45).";"верно";"да";"нет";"В 12,75 часа — 765 минут.";"верно";"0";"консенсус";"М1";"6773"
"Т10";"Д5";"нет";"Сколько минут в 5,50 часа?";"330";"В 5,50 часа — 330 минут (5 часов × 60 = 300 минут, плюс 0,50 часа × 60 = 30 минут).";"верно";"5,50 часа — это 330 минут (5 часов × 60 минут + 0,50 часа × 60 минут = 300 + 30).";"верно";"да";"нет";"В 5,50 часа — 330 минут.";"верно";"0";"консенсус";"М2";"6616"
"Т11";"Д5";"нет";"В строке таблицы значения: 17; 25; 33; 41. Какова их сумма?";"116";"Сумма значений: 17 + 25 + 33 + 41 = 116.";"верно";"Сумма значений равна 116.";"верно";"да";"нет";"Сумма значений: 17 + 25 + 33 + 41 = 116.";"верно";"0";"консенсус";"М1";"4869"
"Т12";"Д5";"нет";"В строке таблицы значения: 112; 96; 158; 74. Какова их сумма?";"440";"Сумма значений равна 440.";"верно";"Сумма значений равна 440 (112 + 96 + 158 + 74 = 440).";"верно";"да";"нет";"Сумма значений равна 440.";"верно";"0";"консенсус";"М2";"9209"
"Т13";"Д5";"нет";"В строке таблицы значения: 310; 420; 155; 265. Какова их сумма?";"1150";"Сумма значений: 310 + 420 + 155 + 265 = 1150.";"верно";"Сумма значений равна 1150.";"верно";"да";"нет";"Сумма значений 310, 420, 155 и 265 равна 1150.";"верно";"0";"консенсус";"М1";"7887"
"Т14";"Д5";"нет";"В строке таблицы значения: 87; 143; 96; 74. Какова их сумма?";"400";"Сумма значений: 87 + 143 + 96 + 74 = 400.";"верно";"Сумма значений в строке равна 400.";"верно";"да";"нет";"Сумма значений равна 400.";"верно";"0";"консенсус";"М2";"6590"
"Т15";"Д5";"нет";"Найдите площадь прямоугольника со сторонами 37 и 24.";"888";"Площадь прямоугольника равна произведению его сторон: 37 × 24 = 888. Ответ: 888 квадратных единиц.";"верно";"Площадь прямоугольника равна произведению его сторон: 37 × 24 = 888.";"верно";"нет";"да";"Площадь прямоугольника со сторонами 37 и 24 равна 888 квадратных единиц.";"верно";"1";"консенсус";"М1";"6851"
"Т16";"Д5";"нет";"Найдите площадь прямоугольника со сторонами 56 и 19.";"1064";"Площадь прямоугольника равна произведению его сторон: 56 × 19 = 1064.";"верно";"Площадь прямоугольника равна произведению его сторон: $56 \times 19 = 1064$.";"верно";"да";"нет";"Площадь прямоугольника равна 1064.";"верно";"0";"консенсус";"М2";"9626"
"Т17";"Д5";"нет";"Найдите площадь прямоугольника со сторонами 83 и 45.";"3735";"Площадь прямоугольника равна произведению его сторон: 83 × 45 = 3735.";"верно";"Площадь прямоугольника равна произведению его сторон: 83 × 45 = 3735.";"верно";"да";"нет";"Площадь прямоугольника со сторонами 83 и 45 равна 3735.";"верно";"0";"консенсус";"М1";"7274"
"Т18";"Д5";"нет";"Найдите площадь прямоугольника со сторонами 68 и 32.";"2176";"Площадь прямоугольника равна произведению его сторон: 68 × 32 = 2176.";"верно";"Площадь прямоугольника равна произведению его сторон: $68 \times 32 = 2176$.";"верно";"да";"нет";"Площадь прямоугольника равна произведению его сторон: 68 × 32 = 2176.";"верно";"0";"консенсус";"М2";"8452"
"Т19";"Д5";"нет";"Сколько метров в 3,7 километра?";"3700";"В 3,7 километра — 3700 метров (так как 1 км = 1000 м).";"верно";"В 3,7 километра содержится 3700 метров, так как один километр равен 1000 метров.";"верно";"да";"нет";"В 3,7 километра — 3700 метров.";"верно";"0";"консенсус";"М1";"5858"
"Т20";"Д5";"нет";"Сколько метров в 12,4 километра?";"12400";"В 12,4 километра — 12 400 метров (так как 1 км = 1000 м).";"верно";"В 12,4 километра содержится 12 400 метров, так как 1 километр равен 1 000 метров.";"верно";"да";"нет";"В 12,4 километра — 12 400 метров.";"верно";"0";"консенсус";"М2";"7944"
